"activity_name" "name" "type" "domain" "direction" "average"
"LAYING" "bodyacceleration" "mean" "frequency" "x" -0.966812071347737
"LAYING" "bodyacceleration" "mean" "frequency" "y" -0.952678416904835
"LAYING" "bodyacceleration" "mean" "frequency" "z" -0.960018019984568
"LAYING" "bodyacceleration" "mean" "time" "x" 0.268648643296245
"LAYING" "bodyacceleration" "mean" "time" "y" -0.0183177280685082
"LAYING" "bodyacceleration" "mean" "time" "z" -0.107435631519084
"LAYING" "bodyacceleration" "std" "frequency" "x" -0.959031456047479
"LAYING" "bodyacceleration" "std" "frequency" "y" -0.942460971074588
"LAYING" "bodyacceleration" "std" "frequency" "z" -0.945643635450566
"LAYING" "bodyacceleration" "std" "time" "x" -0.960932405036523
"LAYING" "bodyacceleration" "std" "time" "y" -0.943507185574074
"LAYING" "bodyacceleration" "std" "time" "z" -0.948069300024897
"LAYING" "bodyaccelerationjerk" "mean" "frequency" "x" -0.980197655180041
"LAYING" "bodyaccelerationjerk" "mean" "frequency" "y" -0.971383628894033
"LAYING" "bodyaccelerationjerk" "mean" "frequency" "z" -0.976614530180041
"LAYING" "bodyaccelerationjerk" "mean" "time" "x" 0.0818473898341049
"LAYING" "bodyaccelerationjerk" "mean" "time" "y" 0.0111723565401199
"LAYING" "bodyaccelerationjerk" "mean" "time" "z" -0.00485976942268338
"LAYING" "bodyaccelerationjerk" "std" "frequency" "x" -0.982459599243827
"LAYING" "bodyaccelerationjerk" "std" "frequency" "y" -0.973051242896091
"LAYING" "bodyaccelerationjerk" "std" "frequency" "z" -0.980971915740741
"LAYING" "bodyaccelerationjerk" "std" "time" "x" -0.980381808513375
"LAYING" "bodyaccelerationjerk" "std" "time" "y" -0.971147567757202
"LAYING" "bodyaccelerationjerk" "std" "time" "z" -0.979476595910494
"LAYING" "bodyaccelerationjerkmagnitude" "mean" "time" "None" -0.97920875497428
"LAYING" "bodyaccelerationjerkmagnitude" "std" "time" "None" -0.974240573559671
"LAYING" "bodyaccelerationmagnitude" "mean" "frequency" "None" -0.94767271172428
"LAYING" "bodyaccelerationmagnitude" "mean" "time" "None" -0.941110656500514
"LAYING" "bodyaccelerationmagnitude" "std" "frequency" "None" -0.934916672889661
"LAYING" "bodyaccelerationmagnitude" "std" "time" "None" -0.932160020511831
"LAYING" "bodyangularacceleration" "mean" "frequency" "x" -0.962915035776389
"LAYING" "bodyangularacceleration" "mean" "frequency" "y" -0.967582058544239
"LAYING" "bodyangularacceleration" "mean" "frequency" "z" -0.964184423173868
"LAYING" "bodyangularacceleration" "mean" "time" "x" -0.0167253403420918
"LAYING" "bodyangularacceleration" "mean" "time" "y" -0.0934107103603086
"LAYING" "bodyangularacceleration" "mean" "time" "z" 0.125885141252623
"LAYING" "bodyangularacceleration" "std" "frequency" "x" -0.96974730340535
"LAYING" "bodyangularacceleration" "std" "frequency" "y" -0.961365374902263
"LAYING" "bodyangularacceleration" "std" "frequency" "z" -0.966725247165638
"LAYING" "bodyangularacceleration" "std" "time" "x" -0.967892432932613
"LAYING" "bodyangularacceleration" "std" "time" "y" -0.963192469243827
"LAYING" "bodyangularacceleration" "std" "time" "z" -0.963509228024691
"LAYING" "bodyangularaccelerationjerk" "mean" "time" "x" -0.101864299363374
"LAYING" "bodyangularaccelerationjerk" "mean" "time" "y" -0.038198085408019
"LAYING" "bodyangularaccelerationjerk" "mean" "time" "z" -0.0638498197415123
"LAYING" "bodyangularaccelerationjerk" "std" "time" "x" -0.976124813760288
"LAYING" "bodyangularaccelerationjerk" "std" "time" "y" -0.980473581049383
"LAYING" "bodyangularaccelerationjerk" "std" "time" "z" -0.984782526095679
"LAYING" "bodyangularaccelerationjerkmagnitude" "mean" "time" "None" -0.982726626075103
"LAYING" "bodyangularaccelerationjerkmagnitude" "std" "time" "None" -0.976754966054527
"LAYING" "bodyangularaccelerationmagnitude" "mean" "time" "None" -0.938435972026749
"LAYING" "bodyangularaccelerationmagnitude" "std" "time" "None" -0.940596109587449
"LAYING" "bodybodyaccjerkmag" "mean" "frequency" "None" -0.974300115365226
"LAYING" "bodybodyaccjerkmag" "std" "frequency" "None" -0.97318339962963
"LAYING" "bodybodygyrojerkmag" "mean" "frequency" "None" -0.977968240452675
"LAYING" "bodybodygyrojerkmag" "std" "frequency" "None" -0.976648216795267
"LAYING" "bodybodygyromag" "mean" "frequency" "None" -0.95485445779321
"LAYING" "bodybodygyromag" "std" "frequency" "None" -0.942115714415638
"LAYING" "gravityacceleration" "mean" "time" "x" -0.375021333827161
"LAYING" "gravityacceleration" "mean" "time" "y" 0.622270362899691
"LAYING" "gravityacceleration" "mean" "time" "z" 0.55561247407572
"LAYING" "gravityacceleration" "std" "time" "x" -0.943319727953189
"LAYING" "gravityacceleration" "std" "time" "y" -0.963191706084414
"LAYING" "gravityacceleration" "std" "time" "z" -0.951868724368827
"LAYING" "gravityaccelerationmagnitude" "mean" "time" "None" -0.941110656500514
"LAYING" "gravityaccelerationmagnitude" "std" "time" "None" -0.932160020511831
"SITTING" "bodyacceleration" "mean" "frequency" "x" -0.983091966702307
"SITTING" "bodyacceleration" "mean" "frequency" "y" -0.947917966193585
"SITTING" "bodyacceleration" "mean" "frequency" "z" -0.957031035425999
"SITTING" "bodyacceleration" "mean" "time" "x" 0.273059614418965
"SITTING" "bodyacceleration" "mean" "time" "y" -0.0126895730832639
"SITTING" "bodyacceleration" "mean" "time" "z" -0.105517003220878
"SITTING" "bodyacceleration" "std" "frequency" "x" -0.983747266764209
"SITTING" "bodyacceleration" "std" "frequency" "y" -0.932533490271469
"SITTING" "bodyacceleration" "std" "frequency" "z" -0.934336687975915
"SITTING" "bodyacceleration" "std" "time" "x" -0.983446221750141
"SITTING" "bodyacceleration" "std" "time" "y" -0.934880562895515
"SITTING" "bodyacceleration" "std" "time" "z" -0.938981580616207
"SITTING" "bodyaccelerationjerk" "mean" "frequency" "x" -0.985188769302195
